IterationName,owner,StartDate,EndDate,Description,Product,Backlog,UserStory,Team,IterationScore,IterationSize,create_by,create_dt,update_by,update_dt,IterationId,organization_name
Iteration 1 for Product P1,Praveen,2020-02-03,2020-02-14,An iteration (sprint) is a time interval or timebox that an agile team uses to perform software development work.,None,None,,FlexTeam (example),0,0,Praveen,2020-06-24 10:00:47.534166+00:00,Praveen,2020-06-24 10:00:47.534179+00:00,AR_ITER_221,Digimonk
Iteration 2 for Product P1,Praveen,2020-02-17,2020-02-28,This is an example iteration for training purposes,None,Backlog for P2 (example),,Team-T1 (example),0,0,Praveen,2020-06-24 10:00:47.561079+00:00,Praveen,2020-06-24 10:00:47.561089+00:00,AR_ITER_222,Digimonk
Sprint 1 for Product P2,Praveen,2020-03-02,2020-03-13,This is an example iteration for training purposes,None,None,,None,0,0,Praveen,2020-06-24 10:00:47.586226+00:00,Praveen,2020-06-24 10:00:47.586237+00:00,AR_ITER_223,Digimonk
Sprint 2 for Product P2,Praveen,2020-03-16,2020-03-27,This is an example iteration for training purposes,None,None,,None,0,0,Praveen,2020-06-24 10:00:47.610540+00:00,Praveen,2020-06-24 10:00:47.610548+00:00,AR_ITER_224,Digimonk
Iteration 1 for BestEverM,Praveen,2020-03-02,2020-03-13,This is an example iteration for training purposes,None,None,,None,0,0,Praveen,2020-06-24 10:00:47.635068+00:00,Praveen,2020-06-24 10:00:47.635076+00:00,AR_ITER_225,Digimonk
Iteration 2 for BestEverM,Praveen,2020-03-16,2020-03-27,This is an example iteration for training purposes,None,None,,None,0,0,Praveen,2020-06-24 10:00:47.660372+00:00,Praveen,2020-06-24 10:00:47.660382+00:00,AR_ITER_226,Digimonk
Iteration 1 for API,Praveen,2020-03-16,2020-03-27,This is an example iteration for training purposes,None,None,,None,0,0,Praveen,2020-06-24 10:00:47.685948+00:00,Praveen,2020-06-24 10:00:47.685959+00:00,AR_ITER_227,Digimonk
Iteration 2 for API,Praveen,2020-03-30,2020-04-10,This is an example iteration for training purposes,None,Backlog Two for P1 (example),,None,0,0,Praveen,2020-06-24 10:00:47.711557+00:00,Praveen,2020-06-24 10:00:47.711568+00:00,AR_ITER_228,Digimonk
Feb Cycle (1) for BestEverM,Praveen,2020-02-01,2020-02-28,For a Kanban Team a Cycle is a proxy iteration for tracking and organization purposes,None,Backlog One for P1 (example),Bird takes flight-1,None,30.0,0,Praveen,2020-06-24 10:00:47.737307+00:00,Praveen,2020-06-24 10:00:47.737318+00:00,AR_ITER_229,Digimonk
Mar Cycle (2) for BestEverM,Praveen,2020-03-01,2020-03-31,For a Kanban Team a Cycle is a proxy iteration for tracking and organization purposes,None,None,,None,0,0,Praveen,2020-06-24 10:00:47.770353+00:00,Praveen,2020-06-24 10:00:47.770364+00:00,AR_ITER_230,Digimonk
test,Praveen,2020-06-24,2020-06-25,test iteration,None,Backlog One for P1 (example),Bird takes flight-1,Team-T1 (example),30.0,0,Praveen,2020-06-24 10:57:05.807852+00:00,Praveen,2020-06-24 10:57:05.807859+00:00,AR_ITER_231,Digimonk
test12,Praveen,2020-06-24,2020-06-25,dsgfsdf,None,None,,None,0,0,Praveen,2020-06-24 11:04:44.471719+00:00,Praveen,2020-06-24 11:04:44.471732+00:00,AR_ITER_232,Digimonk
test12s,Praveen,2020-06-15,2020-06-30,cadadad,None,Backlog One for P1 (example),Bird takes flight-1,None,30.0,0,Praveen,2020-06-24 11:32:39.644152+00:00,Praveen,2020-06-24 11:32:39.644166+00:00,AR_ITER_233,Digimonk
